DeviceSerial;Name1;Name2;DevicePositionID;StatusID;ExternalRef
8104543;CURTY'S TAVERN;ABRTB12301D;1;5;12301D
8096386;OLEFENTSE TRADING ENTERPRISE;ABRTB12323;2;4;12323
8103621;OLEFENTSE TRADING ENTERPRISE;ABRTB12323D;1;4;12323D
8104637;BOXER RUSTENBURG 1;ABRTB12236D;1;4;12236D
8107353;BOXER RUSTENBURG 2;ABRTB12222;2;4;12222
8104553;BOXER RUSTENBURG 2;ABRTB12222D;1;4;12222D
8103619;BOXER RUSTENBURG 2;ABRTB12035;2;4;12035
8104593;TSOLIAS;ABRTB13706;2;4;13706
8103380;TSOLIAS;ABRTB13706D;1;4;13706D
8100071;BOXER NGCOBO;MTHY772;2;4;Y772
8108917;BOXER NGCOBO;MTHY772D;1;4;Y772D
8109145;MARULA MINE;UBBFT91205;2;4;91205
8109156;MARULA MINE;UBBFT91205D;1;4;91205D
8104592;BAFOKENG NORTH;UBRTB90301;2;4;90301
8110099;BAFOKENG NORTH;UBRTB90301D;1;4;90301D
8109331;MARIKANA;UBRTB90307;2;4;90307
8109140;BOITEKONG MALL 1;UBRTB90314;2;4;90314
8109334;BOITEKONG MALL 2;UBRTB90315;2;4;90315
8109336;KANANA;UBRTB90318;2;4;90318
8109343;KANANA;UBRTB90318D;1;4;90318D
8109327;ROWLAND SHAFT;UBRTB90325;2;4;90325
8109333;ROWLAND SHAFT;UBRTB90325D;1;4;90325D
8108615;A HOSTEL NORTHAM;UBRTB90407;2;4;90407
8108647;SWARTKLIP C;UBRTB90408;2;4;90408
8108646;SWARTKLIP C;UBRTB90408D;1;4;90408D
8108661;MINERAL PROCESSING;UBRTB91107;2;4;91107
8108617;MINERAL PROCESSING;UBRTB91107D;1;4;91107D
8108627;BOITEKONG;UBRTB91109;2;4;91109
8108658;BOITEKONG;UBRTB91109D;1;4;91109D
8108886;ELSBURG;UBVER90802;2;4;90802
8108885;ELSBURG;UBVER90802D;1;4;90802D
8108644;JOEL;UBWKM90601;2;4;90601
8108862;JOEL;UBWKM90601D;1;4;90601D
8108428;TSHEPONG HOSTEL;UBWKM90607;2;4;90607
8108888;TSHEPONG HOSTEL;UBWKM90607D;1;4;90607D
8108887;MASIMONG;UBWKM90610;2;4;90610
8108430;MASIMONG;UBWKM90610D;1;4;90610D
8108859;PAKISA SHAFT;UBWKM90611;2;4;90611
8108884;PAKISA SHAFT;UBWKM90611D;1;4;90611D
8108429;EMPIRE SQUARE WELKOM;UBWKM90614;2;4;90614
8113721;EMPIRE SQUARE WELKOM;UBWKM90614D;1;4;90614D
8108450;MOAB KHUTSONG;UBKLD90701;2;4;90701
8108424;MOAB KHUTSONG;UBKLD90701D;1;4;90701D
8108439;GREAT NOLIGWE;UBKLD90703;2;4;90703
8108437;GREAT NOLIGWE;UBKLD90703D;1;4;90703D
8108426;KOPANAG RESIDENCE;UBKLD90704;2;4;90704
8108467;KOPANAG RESIDENCE;UBKLD90704D;1;4;90704D
8103105;CHECKOUT WESTHAM;ABDBN12987D;1;4;12987D
8109060;SASOL DUDUZA;ABKEM11266D;1;4;11266D
8108391;EXEL BRAKPAN;ABKEM13715D;1;4;13715D
8108363;BOXER DAVEYTON;ABKEM90144D;1;4;90144D
8108347;SASOL PARKDENE;ABKEM12675D;1;4;12675D
8108752;SASOL RAVENSHOOD;ABKEM90081D;1;4;90081D
8109148;SASOL RIETFONTEIN;ABKEM12077D;1;4;12077D
